person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Nadia Nistor,nadianistor,nadianistor@zzup.ro,8630223309186,1952-12-16,"Aleea Octavian Dumitrescu Nr. 407, Tarnaveni, 435629",0742 907 475,18:18:88:42:3e:df,191.235.5.243,RO71CFOR1667518807697665,2025-06-20 02:13:53,12252,521,795,885834,9824d4c2-1de3-4f1e-902b-524a33439815
Olivia Aanei,oliviaaanei,oliviaaanei@gmail.com,3800315086540,1984-06-28,"Aleea Toma Nr. 61 Bl. 23  Sc. 77 Ap. 412, Poiana Mare, 262816",0753 033 831,a8:bf:3d:0e:67:be,87.86.235.103,RO91WNVH3758637520818083,2025-06-20 02:13:53,27329,861,436,233297,e695e7b6-ca68-4c40-a821-4eb91e71a954
Artemisa Ioniță,artemisaioniță,artemisaioniță@141.ro,8210816011401,1945-12-07,"Aleea Nistor, Stei, 441550",0746 921 252,c0:96:cb:a9:be:b0,131.71.218.230,RO33GNKB7617701518244790,2025-06-20 02:13:53,31800,121,24,822454,4cd2a781-2624-4c11-b678-8e3b2a711be7
Petruț Stănescu,petruțstănescu,petruțstănescu@gmail.com,6160125147220,1985-10-17,"Soseaua Gheorghiu Nr. 154 Bl. 99  Sc. 18 Ap. 487, Segarcea, 823241",0729 168 012,62:b5:4d:1b:21:83,183.100.129.193,RO82VIMB1923014680973719,2025-06-20 02:13:53,11850,737,4,756599,5e6563d1-d3de-4bb5-a448-d666495a8455
Viorel Niță,viorelniță,viorelniță@acasa.ro,8680223356372,1914-08-18,"Aleea Cristea Nr. 78, Pecica, 920397",0237 329 532,44:0f:02:b7:37:c4,152.134.91.29,RO30CCQQ9616737020431841,2025-06-20 02:13:53,930,742,43,1881494,d66f5786-0f2f-4445-8315-15102c3a7a12
Bogdan Niță,bogdanniță,bogdanniță@post.ro,1110715113850,1922-11-05,"Aleea Marcela Tomescu Nr. 75, Targu Jiu, 192773",0261 133 002,f2:86:5d:a8:37:23,16.186.27.143,RO92VSEU3440681368083638,2025-06-20 02:13:53,24123,119,531,1752303,3d31259e-c0b7-495c-bee5-8908fb4ae9bd
Ada Mocanu,adamocanu,adamocanu@email.ro,4990719111024,2022-06-02,"Intrarea Albu, Focsani, 976146",0748 157 970,d2:95:2d:98:09:8c,146.109.29.159,RO33BHGC1078879233200887,2025-06-20 02:13:53,19383,215,374,172150,8f9e92c3-8954-4828-9422-e0257dd5da8c
Codrina Nemeș,codrinanemeș,codrinanemeș@gmail.com,5240613131391,2011-01-02,"Intrarea Voinea Nr. 44 Bl. 22  Sc. 19 Ap. 843, Ruscova, 890218",0259 496 105,9c:64:c2:96:56:51,25.104.179.29,RO07JVJX2927494731637706,2025-06-20 02:13:53,15878,583,399,1428107,46d2e9ed-62e9-40fd-910c-79e3e1f9187d
Ivona Niță,ivonaniță,ivonaniță@gmail.com,5740403513021,1957-07-08,"Aleea Barbu Nr. 584, Motru, 634298",0243 147 393,78:5e:72:47:d9:cd,38.94.22.116,RO04CZCD2738539067684657,2025-06-20 02:13:53,4275,845,781,357563,18a1b2fd-6454-47a5-adc4-44dab1e33b61
Agripina Mocanu,agripinamocanu,agripinamocanu@gmail.com,4540404454587,1954-05-23,"Bulevardul Mazilescu, Sacele, 426577",0722 811 530,32:b1:f4:fb:b9:f5,215.9.16.67,RO61RJUY2571225588521579,2025-06-20 02:13:53,16808,4,764,1397675,d10b9c0d-1a59-4c17-83af-7023eac1aa79
